2017-04-25 01:28:29.022762,801796,697806,C-117580-9,Movies & TV Shows,Friday The 13th Part 9: Jason Goes To Hell - The Final Friday,REEL,2015-05-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/reel/friday-the-13th-part-9-jason-goes-to-hell-the-final-friday/697806/
2017-04-25 01:28:33.705682,801817,697773,C-117571-9,Movies & TV Shows,Now And Then,REEL,2015-05-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/now-and-then/697773/
2017-04-25 01:28:38.735303,801816,697777,C-117573-9,Movies & TV Shows,My Own Private Idaho,REEL,2015-05-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/my-own-private-idaho/697777/
2017-04-25 01:28:43.493811,801815,697786,C-117575-9,Movies & TV Shows,Magnolia,REEL,2015-05-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/magnolia/697786/
2017-04-25 01:28:49.222469,800885,688901,MP061,Movies & TV Shows,Honeymoon,GRYPHON,2015-04-22,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/honeymoon/688901/
2017-04-25 01:28:54.350825,800887,6888893,MP038,Movies & TV Shows,Eat,GRYPHON,2015-04-22,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/eat/6888893/
2017-04-25 01:28:59.382126,800911,688754,EAG2916,Movies & TV Shows,Good Marriage- A,GRYPHON,2015-04-22,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/good-marriage-a/688754/
2017-04-25 01:29:04.517095,800917,688762,EAG2934,Movies & TV Shows,Viking Beserkers,GRYPHON,2015-04-22,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/viking-beserkers/688762/
2017-04-25 01:29:09.262683,799520,684671,C-115410-9,Movies & TV Shows,17 Again,REEL,2015-04-08,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/17-again/684671/
2017-04-25 01:29:14.606407,799532,684707,C-115418-9,Movies & TV Shows,Three Kings,REEL,2015-04-08,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/three-kings/684707/
2017-04-25 01:29:19.687178,798651,674041,MP053,Movies & TV Shows,There's Something In The Pilliga,GRYPHON,2015-03-18,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/theres-something-in-the-pilliga/674041/
2017-04-25 01:29:28.802558,798980,674089,MP056,Movies & TV Shows,Asmodexia,GRYPHON,2015-03-18,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/asmodexia/674089/
2017-04-25 01:29:33.435693,799003,673898,MP059,Movies & TV Shows,Beautiful People,GRYPHON,2015-03-18,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/beautiful-people/673898/
2017-04-25 01:29:38.031051,799020,673974,EAG2915,Movies & TV Shows,Love of My Life,GRYPHON,2015-03-18,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/love-of-my-life/673974/
2017-04-25 01:29:43.275612,798652,674037,MP054,Movies & TV Shows,Starry Eyes,GRYPHON,2015-03-18,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/starry-eyes/674037/
